2026-06-23 20:22:32 | INFO    | inference.pipeline | === Processing C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test4.jpg ===
2026-06-23 20:22:32 | INFO    | inference.detect | Cropped receipt to 450x729
2026-06-23 20:22:32 | INFO    | inference.ocr | Initializing OCR engine 'easyocr'
2026-06-23 20:22:46 | WARNING | easyocr.easyocr | Using CPU. Note: This module is much faster with a GPU.
2026-06-23 20:22:52 | INFO    | inference.ocr | OCR produced 15 lines
2026-06-23 20:22:52 | INFO    | inference.parse | Parsed 5 item lines (store='瓦せんべい・文楽人形焼')
2026-06-23 20:23:37 | INFO    | inference.parse | Loading embedding model intfloat/multilingual-e5-small
2026-06-23 20:23:37 | INFO    | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-06-23 20:23:37 | INFO    | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: intfloat/multilingual-e5-small
2026-06-23 20:23:45 | INFO    | inference.csv_writer | Wrote CSV C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\outputs\test4.csv (5 rows)
2026-06-23 20:23:45 | INFO    | database.db | Stored receipt id=3 with 5 items
2026-06-23 20:23:45 | INFO    | inference.pipeline | === Done C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test4.jpg -> C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\outputs\test4.csv ===
2026-06-23 20:23:45 | INFO    | __main__ | OK -> C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\outputs\test4.csv
2026-06-23 20:25:24 | INFO    | inference.pipeline | === Processing C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test4.jpg ===
2026-06-23 20:25:24 | INFO    | inference.detect | Cropped receipt to 450x729
2026-06-23 20:25:24 | INFO    | inference.ocr | Initializing OCR engine 'easyocr'
2026-06-23 20:25:29 | WARNING | easyocr.easyocr | Using CPU. Note: This module is much faster with a GPU.
2026-06-23 20:25:35 | INFO    | inference.ocr | OCR produced 15 lines
2026-06-23 20:25:35 | INFO    | inference.parse | Parsed 5 item lines (store='瓦せんべい・文楽人形焼')
2026-06-23 20:25:39 | INFO    | inference.parse | Loading embedding model intfloat/multilingual-e5-small
2026-06-23 20:25:39 | INFO    | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-06-23 20:25:39 | INFO    | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: intfloat/multilingual-e5-small
2026-06-23 20:25:47 | INFO    | inference.csv_writer | Wrote CSV C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\outputs\test4.csv (5 rows)
2026-06-23 20:25:47 | INFO    | database.db | Stored receipt id=4 with 5 items
2026-06-23 20:25:47 | INFO    | inference.pipeline | === Done C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test4.jpg -> C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\outputs\test4.csv ===
2026-06-23 20:25:47 | INFO    | __main__ | OK -> C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\outputs\test4.csv
2026-06-23 20:36:56 | ERROR   | __main__ | Input does not exist: C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test5.jpg
2026-06-23 20:37:19 | INFO    | inference.pipeline | === Processing C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test5.jpeg ===
2026-06-23 20:37:19 | WARNING | inference.detect | No receipt-shaped contour found; trying fallback.
2026-06-23 20:37:19 | ERROR   | inference.pipeline | C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test5.jpeg failed: ReceiptNotFoundError: No receipt-shaped contour found. The background may be low-contrast (white receipt on white surface).
2026-06-23 20:37:19 | ERROR   | __main__ | FAILED (ReceiptNotFoundError): No receipt-shaped contour found. The background may be low-contrast (white receipt on white surface).
2026-06-23 20:37:31 | INFO    | inference.pipeline | === Processing C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test6.jpeg ===
2026-06-23 20:37:31 | WARNING | inference.detect | No receipt-shaped contour found; trying fallback.
2026-06-23 20:37:31 | ERROR   | inference.pipeline | C:\Users\sa.er\LTH\Keio\MachineIntellegence\projectScripts\testData\test6.jpeg failed: ReceiptNotFoundError: No receipt-shaped contour found. The background may be low-contrast (white receipt on white surface).
2026-06-23 20:37:31 | ERROR   | __main__ | FAILED (ReceiptNotFoundError): No receipt-shaped contour found. The background may be low-contrast (white receipt on white surface).
